MONTHLY BUDGET TRACKER,,,,
Month:,January 2025,,,
,,,,
INCOME,,,,
Category,Budgeted,Actual,Difference,Notes
Salary,$0.00,$0.00,$0.00,
Freelance/Side Income,$0.00,$0.00,$0.00,
Investments,$0.00,$0.00,$0.00,
Other Income,$0.00,$0.00,$0.00,
TOTAL INCOME,$0.00,$0.00,$0.00,
,,,,
EXPENSES,,,,
Category,Budgeted,Actual,Difference,Notes
Housing/Rent,$0.00,$0.00,$0.00,
Utilities,$0.00,$0.00,$0.00,
Groceries,$0.00,$0.00,$0.00,
Transportation,$0.00,$0.00,$0.00,
Insurance,$0.00,$0.00,$0.00,
Healthcare,$0.00,$0.00,$0.00,
Entertainment,$0.00,$0.00,$0.00,
Dining Out,$0.00,$0.00,$0.00,
Shopping,$0.00,$0.00,$0.00,
Subscriptions,$0.00,$0.00,$0.00,
Savings,$0.00,$0.00,$0.00,
Debt Payments,$0.00,$0.00,$0.00,
Miscellaneous,$0.00,$0.00,$0.00,
TOTAL EXPENSES,$0.00,$0.00,$0.00,
,,,,
SUMMARY,,,,
Total Income,$0.00,$0.00,,
Total Expenses,$0.00,$0.00,,
NET BALANCE,$0.00,$0.00,,
