MORTGAGE CALCULATOR
==================

LOAN INPUTS
-----------
Description,Value,Notes
Loan Amount,250000,Enter your loan amount
Annual Interest Rate,6.5%,Enter as percentage (e.g. 6.5%)
Loan Term (Years),30,Enter loan term in years

CALCULATED VALUES
-----------------
Description,Value,Formula
Monthly Interest Rate,0.5417%,=Annual Rate / 12
Number of Payments,360,=Years * 12
Monthly Payment,"$1,580.17","=PMT(Monthly Rate, Payments, -Loan Amount)"
Total Payments,"$568,861.22",=Monthly Payment * Number of Payments
Total Interest Paid,"$318,861.22",=Total Payments - Loan Amount

AMORTIZATION SCHEDULE
=====================
Month,Payment,Principal,Interest,Remaining Balance
0,-,-,-,"$250,000.00"
1,"$1,580.17","$225.00","$1,354.17","$249,775.00"
2,"$1,580.17","$226.22","$1,353.95","$249,548.78"
3,"$1,580.17","$227.44","$1,352.72","$249,321.34"
4,"$1,580.17","$228.68","$1,351.49","$249,092.67"
5,"$1,580.17","$229.92","$1,350.25","$248,862.75"
6,"$1,580.17","$231.16","$1,349.01","$248,631.59"
7,"$1,580.17","$232.42","$1,347.75","$248,399.18"
8,"$1,580.17","$233.68","$1,346.49","$248,165.50"
9,"$1,580.17","$234.94","$1,345.23","$247,930.56"
10,"$1,580.17","$236.22","$1,343.96","$247,694.34"
11,"$1,580.17","$237.50","$1,342.68","$247,456.85"
12,"$1,580.17","$238.78","$1,341.39","$247,218.07"
Year 1 Summary,-,"$2,781.93","$16,180.08",-
13,"$1,580.17","$240.08","$1,340.10","$246,977.99"
14,"$1,580.17","$241.38","$1,338.80","$246,736.62"
15,"$1,580.17","$242.68","$1,337.49","$246,493.93"
16,"$1,580.17","$244.00","$1,336.18","$246,249.94"
17,"$1,580.17","$245.32","$1,334.85","$246,004.62"
18,"$1,580.17","$246.65","$1,333.53","$245,757.97"
19,"$1,580.17","$247.98","$1,332.19","$245,509.99"
20,"$1,580.17","$249.33","$1,330.85","$245,260.66"
21,"$1,580.17","$250.68","$1,329.50","$245,009.99"
22,"$1,580.17","$252.03","$1,328.14","$244,757.95"
23,"$1,580.17","$253.40","$1,326.77","$244,504.55"
24,"$1,580.17","$254.77","$1,325.40","$244,249.78"
Year 2 Summary,-,"$2,968.30","$15,993.74",-
25,"$1,580.17","$256.16","$1,324.02","$243,993.62"
26,"$1,580.17","$257.55","$1,322.62","$243,736.07"
27,"$1,580.17","$258.95","$1,321.22","$243,477.12"
28,"$1,580.17","$260.35","$1,319.82","$243,216.77"
29,"$1,580.17","$261.76","$1,318.41","$242,955.01"
30,"$1,580.17","$263.18","$1,316.99","$242,691.83"
31,"$1,580.17","$264.61","$1,315.56","$242,427.22"
32,"$1,580.17","$266.04","$1,314.13","$242,161.18"
33,"$1,580.17","$267.48","$1,312.69","$241,893.70"
34,"$1,580.17","$268.93","$1,311.24","$241,624.77"
35,"$1,580.17","$270.39","$1,309.78","$241,354.38"
36,"$1,580.17","$271.86","$1,308.31","$241,082.52"
Year 3 Summary,-,"$3,167.26","$15,794.78",-
