MORTGAGE CALCULATOR - EXCEL READY VERSION
=========================================

INSTRUCTIONS: Import this CSV into Excel and replace sample values with formulas below

=== LOAN INPUTS (Cells B3:B5) ===
Label,Value
Loan Amount,250000
Annual Interest Rate (%),6.5
Loan Term (Years),30

=== CALCULATED VALUES ===
Label,Value,Excel Formula to Use
Monthly Interest Rate,0.005417,=B4/12/100
Total Number of Payments,360,=B5*12
Monthly Payment,1580.17,=PMT(B8,B9,-B3)
Total of All Payments,568861.22,=B10*B9
Total Interest Paid,318861.22,=B11-B3

=== AMORTIZATION SCHEDULE ===
Month,Beginning Balance,Payment,Principal,Interest,Ending Balance
1,250000.00,1580.17,225.00,1354.17,249775.00
2,249775.00,1580.17,226.22,1353.95,249548.78
3,249548.78,1580.17,227.44,1352.72,249321.34
4,249321.34,1580.17,228.68,1351.49,249092.66
5,249092.66,1580.17,229.92,1350.25,248862.74
6,248862.74,1580.17,231.17,1349.01,248631.57
7,248631.57,1580.17,232.42,1347.75,248399.15
8,248399.15,1580.17,233.68,1346.49,248165.47
9,248165.47,1580.17,234.95,1345.23,247930.52
10,247930.52,1580.17,236.22,1343.96,247694.30
11,247694.30,1580.17,237.50,1342.68,247456.80
12,247456.80,1580.17,238.79,1341.39,247218.01
13,247218.01,1580.17,240.08,1340.10,246977.93
14,246977.93,1580.17,241.38,1338.80,246736.55
15,246736.55,1580.17,242.69,1337.49,246493.86
16,246493.86,1580.17,244.00,1336.17,246249.86
17,246249.86,1580.17,245.33,1334.85,246004.53
18,246004.53,1580.17,246.66,1333.52,245757.87
19,245757.87,1580.17,247.99,1332.19,245509.88
20,245509.88,1580.17,249.34,1330.84,245260.54
21,245260.54,1580.17,250.69,1329.49,245009.85
22,245009.85,1580.17,252.05,1328.12,244757.80
23,244757.80,1580.17,253.42,1326.76,244504.38
24,244504.38,1580.17,254.79,1325.38,244249.59
25,244249.59,1580.17,256.17,1324.00,243993.42
26,243993.42,1580.17,257.56,1322.61,243735.86
27,243735.86,1580.17,258.96,1321.21,243476.90
28,243476.90,1580.17,260.36,1319.81,243216.54
29,243216.54,1580.17,261.77,1318.40,242954.77
30,242954.77,1580.17,263.19,1316.98,242691.58
31,242691.58,1580.17,264.62,1315.55,242426.96
32,242426.96,1580.17,266.05,1314.12,242160.91
33,242160.91,1580.17,267.49,1312.68,241893.42
34,241893.42,1580.17,268.94,1311.23,241624.48
35,241624.48,1580.17,270.40,1309.77,241354.08
36,241354.08,1580.17,271.87,1308.31,241082.21
37,241082.21,1580.17,273.34,1306.83,240808.87
38,240808.87,1580.17,274.82,1305.35,240534.05
39,240534.05,1580.17,276.31,1303.86,240257.74
40,240257.74,1580.17,277.81,1302.36,239979.93
41,239979.93,1580.17,279.32,1300.86,239700.61
42,239700.61,1580.17,280.83,1299.34,239419.78
43,239419.78,1580.17,282.35,1297.82,239137.43
44,239137.43,1580.17,283.88,1296.29,238853.55
45,238853.55,1580.17,285.42,1294.76,238568.13
46,238568.13,1580.17,286.97,1293.20,238281.16
47,238281.16,1580.17,288.52,1291.65,237992.64
48,237992.64,1580.17,290.09,1290.09,237702.55
49,237702.55,1580.17,291.66,1288.51,237410.89
50,237410.89,1580.17,293.24,1286.93,237117.65
51,237117.65,1580.17,294.83,1285.35,236822.82
52,236822.82,1580.17,296.43,1283.75,236526.39
53,236526.39,1580.17,298.03,1282.14,236228.36
54,236228.36,1580.17,299.65,1280.53,235928.71
55,235928.71,1580.17,301.27,1278.90,235627.44
56,235627.44,1580.17,302.90,1277.27,235324.54
57,235324.54,1580.17,304.55,1275.63,235019.99
58,235019.99,1580.17,306.20,1273.98,234713.79
59,234713.79,1580.17,307.86,1272.32,234405.93
60,234405.93,1580.17,309.52,1270.65,234096.41
61,234096.41,1580.17,311.20,1268.97,233785.21
62,233785.21,1580.17,312.89,1267.29,233472.32
63,233472.32,1580.17,314.59,1265.59,233157.73
64,233157.73,1580.17,316.29,1263.88,232841.44
65,232841.44,1580.17,318.01,1262.17,232523.43
66,232523.43,1580.17,319.73,1260.44,232203.70
67,232203.70,1580.17,321.46,1258.71,231882.24
68,231882.24,1580.17,323.21,1256.96,231559.03
69,231559.03,1580.17,324.96,1255.21,231234.07
70,231234.07,1580.17,326.72,1253.45,230907.35
71,230907.35,1580.17,328.49,1251.68,230578.86
72,230578.86,1580.17,330.28,1249.90,230248.58
73,230248.58,1580.17,332.07,1248.10,229916.51
74,229916.51,1580.17,333.87,1246.30,229582.64
75,229582.64,1580.17,335.68,1244.49,229246.96
76,229246.96,1580.17,337.50,1242.67,228909.46
77,228909.46,1580.17,339.33,1240.84,228570.13
78,228570.13,1580.17,341.17,1239.00,228228.96
79,228228.96,1580.17,343.02,1237.16,227885.94
80,227885.94,1580.17,344.88,1235.30,227541.06
81,227541.06,1580.17,346.75,1233.43,227194.31
82,227194.31,1580.17,348.63,1231.55,226845.68
83,226845.68,1580.17,350.52,1229.66,226495.16
84,226495.16,1580.17,352.42,1227.76,226142.74
85,226142.74,1580.17,354.33,1225.85,225788.41
86,225788.41,1580.17,356.25,1223.93,225432.16
87,225432.16,1580.17,358.18,1222.00,225073.98
88,225073.98,1580.17,360.12,1220.06,224713.86
