WORKOUT TRACKER,,,,,,
,,,,,,
Date,Exercise Name,Sets,Reps,Weight (lbs),Notes,
2024-01-15,Bench Press,4,10,135,Good form today,
2024-01-15,Squats,4,8,185,Increased weight,
2024-01-15,Deadlift,3,6,225,New personal best,
2024-01-17,Overhead Press,3,10,65,Shoulder felt tight,
2024-01-17,Barbell Rows,4,8,115,Focus on squeeze,
2024-01-17,Bicep Curls,3,12,30,Drop set on last,
2024-01-19,Bench Press,4,10,140,Weight increase,
2024-01-19,Incline Dumbbell Press,3,10,50,Good pump,
2024-01-19,Tricep Pushdowns,3,15,40,Light weight high reps,
2024-01-21,Squats,4,8,195,Depth improving,
,,,,,,
,,,,,,
SUMMARY SECTION,,,,,,
,,,,,,
Metric,Value,Formula to Use,,,,
Total Workouts (Unique Dates),4,=COUNTA(UNIQUE(A4:A13)),,,,
Total Exercises Logged,10,=COUNTA(B4:B13),,,,
Average Sets,3.5,=AVERAGE(C4:C13),,,,
Average Reps,9.7,=AVERAGE(D4:D13),,,,
Average Weight,108.5,=AVERAGE(E4:E13),,,,
Max Weight Lifted,225,=MAX(E4:E13),,,,
Total Volume (Sets x Reps x Weight),36425,=SUMPRODUCT(C4:C13*D4:D13*E4:E13),,,,
